Airline,Airline ID,Source airport,Destination airport
AA,24,LHR,BSL
AA,24,LHR,BUD
AA,24,LHR,CDG
AA,24,LHR,CPH
AA,24,LHR,DUB
AA,24,LHR,DUS
AA,24,LHR,EDI
AA,24,LHR,FCO
AA,24,LHR,FRA
AA,24,LHR,GIB
AA,24,LHR,GLA
AA,24,LHR,GOT
AA,24,LHR,GVA
AA,24,LHR,HAJ
AA,24,LHR,HAM
AA,24,LHR,HEL
AA,24,LHR,LBA
AA,24,LHR,LIN
AA,24,LHR,LIS
AA,24,LHR,LUX
AA,24,LHR,LYS
AA,24,LHR,MAN
AA,24,LHR,MRS
AA,24,LHR,MUC
AA,24,LHR,MXP
AA,24,LHR,NCE
AA,24,LHR,NCL
AA,24,LHR,OSL
AA,24,LHR,OTP
AA,24,LHR,PRG
AA,24,LHR,PSA
AA,24,LHR,RTM
AA,24,LHR,SOF
AA,24,LHR,STR
AA,24,LHR,SVG
AA,24,LHR,TLS
AA,24,LHR,TXL
AA,24,LHR,VCE
AA,24,LHR,VIE
AA,24,LHR,WAW
AA,24,LHR,ZAG
AA,24,LHR,ZRH
AA,24,LIN,LHR
AA,24,LIS,LHR
AA,24,LUX,LHR
AA,24,LYS,LHR
AA,24,MAN,HEL
AA,24,MAN,LHR
AA,24,MRS,LHR
AA,24,MUC,LHR
AA,24,MXP,LHR
AA,24,NCE,LHR
AA,24,NCL,LHR
AA,24,OSL,LHR
AA,24,OTP,LHR
AA,24,PRG,LHR
AA,24,PSA,LHR
AA,24,RTM,LHR
AA,24,SOF,LHR
AA,24,STR,LHR
AA,24,SVG,LHR
AA,24,TLS,LHR
AA,24,TXL,LHR
AA,24,VCE,LHR
AA,24,VIE,LHR
AA,24,WAW,LHR
AA,24,ZAG,LHR
