Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude,Distance
FR,4296,SVQ,1253,MRS,1353,,0,738,37.41799926757813,-5.8931097984313965,43.439271922,5.22142410278,1153.067626993301
FR,4296,SVQ,1253,PMI,3998,,0,738,37.41799926757813,-5.8931097984313965,39.551700592,2.73881006241,787.5136188715408
FR,4296,SVQ,1253,PMO,1512,,0,738,37.41799926757813,-5.8931097984313965,38.175999,13.091,1667.2484760616671
FR,4296,SVQ,1253,PSA,1562,,0,738,37.41799926757813,-5.8931097984313965,43.683899,10.3927,1538.6028349493856
FR,4296,SVQ,1253,SCQ,1243,,0,738,37.41799926757813,-5.8931097984313965,42.89630126953125,-8.415140151977539,645.6782904264481
FR,4296,SVQ,1253,SDR,1251,,0,738,37.41799926757813,-5.8931097984313965,43.427101135253906,-3.82000994682312,690.7764972974126
FR,4296,SVQ,1253,STN,548,,0,738,37.41799926757813,-5.8931097984313965,51.8849983215,0.234999999404,1678.6093364098801
FR,4296,SXB,1435,OPO,1636,,0,738,48.53829956054688,7.628230094909668,41.2481002808,-8.68138980865,1514.366072507229
FR,4296,SXB,1435,STN,548,,0,738,48.53829956054688,7.628230094909668,51.8849983215,0.234999999404,643.9096185753643
FR,4296,SXF,337,BGY,1525,,0,738,52.380001,13.5225,45.673901,9.70417,795.6716672321179
FR,4296,SXF,337,DUB,599,,0,738,52.380001,13.5225,53.421299,-6.27007,1328.2691979979843
FR,4296,SXF,337,EMA,523,,0,738,52.380001,13.5225,52.8311004639,-1.32806003094,1002.3015994081987
FR,4296,SXF,337,RYG,657,,0,738,52.380001,13.5225,59.378817000000005,10.785439,796.5641007656508
FR,4296,SXF,337,SNN,603,,0,738,52.380001,13.5225,52.702,-8.92482,1512.3350783324643
FR,4296,SXF,337,STN,548,,0,738,52.380001,13.5225,51.8849983215,0.234999999404,907.3321013776789
FR,4296,SZG,1612,STN,548,,0,738,47.7933006287,13.0043001175,51.8849983215,0.234999999404,1020.62849492068
FR,4296,SZZ,676,DUB,599,,0,738,53.584701538100006,14.9021997452,53.421299,-6.27007,1395.2094310742868
FR,4296,SZZ,676,LPL,491,,0,738,53.584701538100006,14.9021997452,53.33359909057617,-2.849720001220703,1172.5496842265484
FR,4296,SZZ,676,STN,548,,0,738,53.584701538100006,14.9021997452,51.8849983215,0.234999999404,1003.550936824904
FR,4296,TGD,1741,CRL,304,,0,738,42.359402,19.2519,50.459202000000005,4.4538199999999994,1444.0888489688532
FR,4296,TGD,1741,STN,548,,0,738,42.359402,19.2519,51.8849983215,0.234999999404,1777.7949049554736
FR,4296,TLL,415,BGY,1525,,0,738,59.41329956049999,24.8327999115,45.673901,9.70417,1829.2391185309432
FR,4296,TLL,415,BRE,353,,0,738,59.41329956049999,24.8327999115,53.0475006104,8.78666973114,1213.4433317140151
FR,4296,TLL,415,GRO,1222,,0,738,59.41329956049999,24.8327999115,41.901000976999995,2.7605500221,2468.107469334311
FR,4296,TLL,415,MAN,478,,0,738,59.41329956049999,24.8327999115,53.35369873046875,-2.2749500274658203,1784.0055060772352
FR,4296,TLL,415,RYG,657,,0,738,59.41329956049999,24.8327999115,59.378817000000005,10.785439,793.7449874539298
FR,4296,TLL,415,STN,548,,0,738,59.41329956049999,24.8327999115,51.8849983215,0.234999999404,1741.3624246663105
FR,4296,TLN,1438,STN,548,,0,738,43.0973014832,6.14602994919,51.8849983215,0.234999999404,1072.4730196599687
FR,4296,TMP,458,AGP,1230,,0,738,61.414100646973,23.604400634766,36.67490005493164,-4.499110221862793,3374.4937081965745
FR,4296,TMP,458,ALC,1212,,0,738,61.414100646973,23.604400634766,38.28219985961914,-0.5581560134887695,3062.1909176551035
FR,4296,TMP,458,BGY,1525,,0,738,61.414100646973,23.604400634766,45.673901,9.70417,1967.113362418537
FR,4296,TMP,458,BRE,353,,0,738,61.414100646973,23.604400634766,53.0475006104,8.78666973114,1282.9834157473713
FR,4296,TMP,458,BUD,1489,,0,738,61.414100646973,23.604400634766,47.429759999999995,19.261093,1579.308400054048
FR,4296,TMP,458,GRO,1222,,0,738,61.414100646973,23.604400634766,41.901000976999995,2.7605500221,2577.741645569422
FR,4296,TMP,458,HHN,355,,0,738,61.414100646973,23.604400634766,49.9487,7.263889999999999,1625.9923217479288
FR,4296,TMP,458,STN,548,,0,738,61.414100646973,23.604400634766,51.8849983215,0.234999999404,1762.5733799805723
FR,4296,TPS,1515,AOI,4309,,0,738,37.9114,12.488,43.616299,13.3623,638.6036889175417
FR,4296,TPS,1515,BGY,1525,,0,738,37.9114,12.488,45.673901,9.70417,893.3140772523745
FR,4296,TPS,1515,BLQ,1538,,0,738,37.9114,12.488,44.5354,11.2887,743.3283837955614
FR,4296,TPS,1515,BTS,1745,,0,738,37.9114,12.488,48.17020034790039,17.212699890136722,1203.006378403247
FR,4296,TPS,1515,BVA,1367,,0,738,37.9114,12.488,49.45439910888672,2.1127800941467285,1527.6677597662413
FR,4296,TPS,1515,CAG,1519,,0,738,37.9114,12.488,39.251499,9.05428,333.56784082797253
FR,4296,TPS,1515,CIA,1553,,0,738,37.9114,12.488,41.7994,12.5949,432.422049942293
FR,4296,TPS,1515,CRL,304,,0,738,37.9114,12.488,50.459202000000005,4.4538199999999994,1533.1294251957872
FR,4296,TPS,1515,CUF,1534,,0,738,37.9114,12.488,44.547001,7.62322,842.1818424135952
FR,4296,TPS,1515,EIN,585,,0,738,37.9114,12.488,51.4500999451,5.374529838559999,1605.189793535994
FR,4296,TPS,1515,FKB,4166,,0,738,37.9114,12.488,48.7793998718,8.08049964905,1259.3597464662869
FR,4296,TPS,1515,FMM,3986,,0,738,37.9114,12.488,47.9888000488,10.2395000458,1135.262893814049
FR,4296,TPS,1515,GOA,1528,,0,738,37.9114,12.488,44.4133,8.8375,784.691747939364
FR,4296,TPS,1515,GRO,1222,,0,738,37.9114,12.488,41.901000976999995,2.7605500221,940.053026784115
FR,4296,TPS,1515,HHN,355,,0,738,37.9114,12.488,49.9487,7.263889999999999,1401.4508366714988
FR,4296,TPS,1515,KRK,669,,0,738,37.9114,12.488,50.077702,19.7848,1471.6533597101263
FR,4296,TPS,1515,KUN,3956,,0,738,37.9114,12.488,54.96390151977539,24.084800720214844,2087.672443736287
FR,4296,TPS,1515,MAN,478,,0,738,37.9114,12.488,53.35369873046875,-2.2749500274658203,2056.505322002349
FR,4296,TPS,1515,MLA,1606,,0,738,37.9114,12.488,35.857498,14.4775,288.8911372645036
FR,4296,TPS,1515,MST,582,,0,738,37.9114,12.488,50.911701,5.7701400000000005,1539.3115752832216
FR,4296,TPS,1515,PEG,1567,,0,738,37.9114,12.488,43.095901,12.5132,576.4941370477156
FR,4296,TPS,1515,PMF,1531,,0,738,37.9114,12.488,44.824501,10.2964,790.0719146440346
FR,4296,TPS,1515,PSA,1562,,0,738,37.9114,12.488,43.683899,10.3927,665.5991987912771
FR,4296,TPS,1515,TRN,1526,,0,738,37.9114,12.488,45.200802,7.64963,904.5907573209139
FR,4296,TPS,1515,TRS,1545,,0,738,37.9114,12.488,45.827499,13.4722,883.9741076997009
FR,4296,TPS,1515,TSF,1539,,0,738,37.9114,12.488,45.648399,12.1944,860.6576450486219
FR,4296,TPS,1515,WMI,8414,,0,738,37.9114,12.488,52.451099,20.6518,1736.0910319686245
FR,4296,TRF,664,AGP,1230,,0,738,59.1866989136,10.258600235,36.67490005493164,-4.499110221862793,2719.869358525825
FR,4296,TRF,664,AHO,1517,,0,738,59.1866989136,10.258600235,40.632099,8.29077,2067.76250946528
FR,4296,TRF,664,ALC,1212,,0,738,59.1866989136,10.258600235,38.28219985961914,-0.5581560134887695,2448.8660859133647
FR,4296,TRF,664,LPL,491,,0,738,59.1866989136,10.258600235,53.33359909057617,-2.849720001220703,1035.672809146095
FR,4296,TRF,664,PSA,1562,,0,738,59.1866989136,10.258600235,43.683899,10.3927,1723.856882748594
FR,4296,TRF,664,STN,548,,0,738,59.1866989136,10.258600235,51.8849983215,0.234999999404,1025.8457321138596
FR,4296,TRN,1526,BCN,1218,,0,738,45.200802,7.64963,41.2971,2.07846,625.8255121182425
FR,4296,TRN,1526,BDS,1506,,0,738,45.200802,7.64963,40.6576,17.947001,977.6901706184233
FR,4296,TRN,1526,BRI,1501,,0,738,45.200802,7.64963,41.138901,16.760599,865.1987262753838
FR,4296,TRN,1526,CRL,304,,0,738,45.200802,7.64963,50.459202000000005,4.4538199999999994,631.348540091964
FR,4296,TRN,1526,CTA,1509,,0,738,45.200802,7.64963,37.466801,15.0664,1058.7122357492058
FR,4296,TRN,1526,MLA,1606,,0,738,45.200802,7.64963,35.857498,14.4775,1187.3719332274347
FR,4296,TRN,1526,STN,548,,0,738,45.200802,7.64963,51.8849983215,0.234999999404,921.1385657468267
FR,4296,TRN,1526,TPS,1515,,0,738,45.200802,7.64963,37.9114,12.488,904.5907573209139
FR,4296,TRS,1545,AHO,1517,,0,738,45.827499,13.4722,40.632099,8.29077,713.7683516850898
FR,4296,TRS,1545,BRI,1501,,0,738,45.827499,13.4722,41.138901,16.760599,584.8406694075517
FR,4296,TRS,1545,BVA,1367,,0,738,45.827499,13.4722,49.45439910888672,2.1127800941467285,940.4903894882688
FR,4296,TRS,1545,CRL,304,,0,738,45.827499,13.4722,50.459202000000005,4.4538199999999994,843.3993621848339
FR,4296,TRS,1545,STN,548,,0,738,45.827499,13.4722,51.8849983215,0.234999999404,1176.8157060360752
FR,4296,TRS,1545,TPS,1515,,0,738,45.827499,13.4722,37.9114,12.488,883.9741076997009
FR,4296,TRS,1545,VLC,1246,,0,738,45.827499,13.4722,39.4893,-0.481625,1338.2962244397406
FR,4296,TSF,1539,AGP,1230,,0,738,45.648399,12.1944,36.67490005493164,-4.499110221862793,1711.5454046625273
